fold,sample_id,Sentence_ID,Sub-Subtype,predicted_label,correct,confidence
3,GOLD_0000,2007/s/2007/677/102:2,Passive to Active Voice,Passive to Active Voice,True,0.9769030809402466
3,GOLD_0001,2007/s/2007/677/102:2,Passive to Active Voice,Passive to Active Voice,True,0.9761541485786438
3,GOLD_0002,2005/s/2005/631/69:1,Passive to Active Voice,Passive to Active Voice,True,0.9945735335350037
3,GOLD_0003,2005/s/2005/631/69:1,Passive to Active Voice,Passive to Active Voice,True,0.9945735335350037
3,GOLD_0004,2005/s/2005/631/69:1,Passive to Active Voice,Passive to Active Voice,True,0.9943437576293945
3,GOLD_0005,2005/s/2005/682/29:1,Definiteness Shift,Definiteness Shift,True,0.9972442388534546
3,GOLD_0006,2005/s/2005/682/29:1,Definiteness Shift,Definiteness Shift,True,0.9971978664398193
3,GOLD_0007,2005/s/2005/682/29:1,Definiteness Shift,Definiteness Shift,True,0.9973948001861572
3,GOLD_0008,2005/s/2005/682/29:1,Definiteness Shift,Definiteness Shift,True,0.9971978664398193
3,GOLD_0009,2005/s/2005/633/25:2,Definiteness Shift,Definiteness Shift,True,0.9831159710884094
3,GOLD_0010,2005/s/2005/633/25:2,Definiteness Shift,Definiteness Shift,True,0.9808533191680908
3,GOLD_0011,2005/s/2005/633/25:2,Definiteness Shift,Definiteness Shift,True,0.9824309945106506
3,GOLD_0012,2005/s/2005/633/25:2,Definiteness Shift,Definiteness Shift,True,0.9730212688446045
3,GOLD_0013,2008/s/2008/250/69:2,Definiteness Shift,Definiteness Shift,True,0.9913187623023987
3,GOLD_0014,2008/s/2008/250/69:2,Definiteness Shift,Definiteness Shift,True,0.9901262521743774
3,GOLD_0015,2008/s/2008/250/69:2,Definiteness Shift,Definiteness Shift,True,0.9907417893409729
3,GOLD_0016,2008/s/2008/250/69:2,Definiteness Shift,Definiteness Shift,True,0.9901262521743774
3,GOLD_0017,2005/s/2005/60/457:3,Register Mismatch,Register Mismatch,True,0.9771254062652588
3,GOLD_0018,2005/s/2005/60/457:3,Register Mismatch,Register Mismatch,True,0.9765052795410156
3,GOLD_0019,2005/s/2005/60/457:3,Register Mismatch,Register Mismatch,True,0.9716793894767761
3,GOLD_0020,2005/s/2005/60/457:3,Register Mismatch,Register Mismatch,True,0.9768952131271362
3,GOLD_0021,2013/s/2013/447/22:4,Register Mismatch,Register Mismatch,True,0.9675822257995605
3,GOLD_0022,2013/s/2013/447/22:4,Register Mismatch,Register Mismatch,True,0.9715107679367065
3,GOLD_0023,2013/s/2013/447/22:4,Register Mismatch,Register Mismatch,True,0.9715107679367065
3,GOLD_0024,2005/s/2005/631/28:3,Register Mismatch,Register Mismatch,True,0.6970345973968506
3,GOLD_0025,2005/s/2005/60/254:1,Register Mismatch,Register Mismatch,True,0.9354676604270935
3,GOLD_0026,2005/s/2005/60/254:1,Register Mismatch,Register Mismatch,True,0.9026655554771423
3,GOLD_0027,2005/s/2005/60/254:1,Register Mismatch,Register Mismatch,True,0.8720985651016235
3,GOLD_0028,2005/s/2005/60/254:1,Register Mismatch,Register Mismatch,True,0.9026655554771423
3,GOLD_0029,2005/s/2005/60/457:3,Register Mismatch,Register Mismatch,True,0.8733769059181213
3,GOLD_0030,2005/s/2005/60/457:3,Register Mismatch,Register Mismatch,True,0.8417249321937561
3,GOLD_0031,2005/s/2005/60/457:3,Register Mismatch,Register Mismatch,True,0.8406897783279419
3,GOLD_0032,2014/s/2014/935/80:2,Register Mismatch,Register Mismatch,True,0.7663299441337585
3,GOLD_0033,2014/s/2014/935/80:2,Register Mismatch,Terminology Substitution,False,0.524819016456604
3,GOLD_0034,2014/s/2014/935/80:2,Register Mismatch,Terminology Substitution,False,0.4947713613510132
3,GOLD_0035,2014/s/2014/935/80:2,Register Mismatch,Terminology Substitution,False,0.4947713613510132
3,GOLD_0036,2006/s/2006/822/203:10,Register Mismatch,Register Mismatch,True,0.9435583353042603
3,GOLD_0037,2006/s/2006/822/203:10,Register Mismatch,Register Mismatch,True,0.4772420823574066
3,GOLD_0038,2006/s/2006/822/203:10,Register Mismatch,Register Mismatch,True,0.5984625220298767
3,GOLD_0039,2006/s/2006/822/203:10,Register Mismatch,Register Mismatch,True,0.4772420823574066
3,GOLD_0040,2008/s/2008/371/235:4,Register Mismatch,Register Mismatch,True,0.9596329927444458
3,GOLD_0041,2008/s/2008/371/235:4,Register Mismatch,Register Mismatch,True,0.9609614014625549
3,GOLD_0042,2008/s/2008/371/235:4,Register Mismatch,Register Mismatch,True,0.9713682532310486
3,GOLD_0043,2008/s/2008/371/235:4,Register Mismatch,Register Mismatch,True,0.9601991772651672
3,GOLD_0044,2012/s/2012/373/576:1,Register Mismatch,Register Mismatch,True,0.9257030487060547
3,GOLD_0045,2011/s/2011/525/60:1,Register Mismatch,Register Mismatch,True,0.9924207329750061
3,GOLD_0046,2003/s/2003/946/19:9,Register Mismatch,Register Mismatch,True,0.9654070138931274
3,GOLD_0047,2012/s/2012/16/45:5,Register Mismatch,Terminology Substitution,False,0.6162118911743164
3,GOLD_0048,2014/s/2014/213/81:7,Register Mismatch,Progressive to Perfective,False,0.3975403904914856
3,GOLD_0049,2014/s/2014/213/81:7,Register Mismatch,Progressive to Perfective,False,0.5050897002220154
3,GOLD_0050,2014/s/2014/213/81:7,Register Mismatch,Progressive to Perfective,False,0.39353272318840027
3,GOLD_0051,2006/s/2006/822/15:3,Register Mismatch,Progressive to Perfective,False,0.4096233546733856
3,GOLD_0052,2006/s/2006/822/15:3,Register Mismatch,Progressive to Perfective,False,0.5024244785308838
3,GOLD_0053,2006/s/2006/822/15:3,Register Mismatch,Register Mismatch,True,0.41337108612060547
3,GOLD_0054,2006/s/2006/822/15:3,Register Mismatch,Progressive to Perfective,False,0.5024244785308838
3,GOLD_0055,2006/s/2006/154/290:2,Register Mismatch,Hypernym for Hyponym,False,0.9308291673660278
3,GOLD_0056,2013/s/2013/447/22:4,Register Mismatch,Register Mismatch,True,0.9874339699745178
